timestamp,input_time_ms,value
2025-11-26T07:44:47.124Z,60,too-fast
2025-11-26T07:44:47.266Z,61,too-fast
2025-11-26T07:44:47.280Z,438,overloaded
2025-11-26T07:44:47.378Z,183,too-fast
2025-11-26T07:44:47.534Z,60,too-fast
2025-11-26T07:44:47.732Z,34,too-fast
2025-11-26T07:44:47.772Z,160,too-fast
2025-11-26T07:44:47.840Z,454,overloaded
2025-11-26T07:44:47.881Z,30,too-fast
2025-11-26T07:44:48.017Z,54,too-fast
2025-11-26T07:44:48.132Z,22,too-fast
2025-11-26T07:44:48.267Z,53,too-fast
2025-11-26T07:44:48.382Z,45,too-fast
2025-11-26T07:44:48.501Z,59,too-fast
2025-11-26T07:44:48.578Z,580,overloaded
2025-11-26T07:44:48.636Z,58,too-fast
2025-11-26T07:44:48.757Z,34,too-fast
2025-11-26T07:44:48.883Z,58,too-fast
2025-11-26T07:44:48.952Z,263,overloaded
2025-11-26T07:44:49.003Z,58,too-fast
2025-11-26T07:44:49.141Z,39,too-fast
2025-11-26T07:44:49.263Z,31,too-fast
2025-11-26T07:44:49.304Z,273,overloaded
2025-11-26T07:44:49.427Z,49,too-fast
2025-11-26T07:44:49.506Z,8,too-fast
2025-11-26T07:44:49.547Z,93,overloaded
2025-11-26T07:44:49.626Z,60,too-fast
2025-11-26T07:44:49.806Z,55,too-fast
2025-11-26T07:44:49.882Z,16,too-fast
2025-11-26T07:44:49.985Z,344,overloaded
2025-11-26T07:44:50.063Z,114,too-fast
2025-11-26T07:44:50.216Z,71,too-fast
2025-11-26T07:44:50.405Z,115,too-fast
2025-11-26T07:44:50.543Z,75,too-fast
2025-11-26T07:44:50.755Z,105,too-fast
2025-11-26T07:44:50.908Z,70,too-fast
2025-11-26T07:44:51.066Z,99,too-fast
2025-11-26T07:44:51.256Z,110,too-fast
2025-11-26T07:44:51.466Z,85,too-fast
2025-11-26T07:44:51.617Z,53,too-fast
2025-11-26T07:44:51.787Z,112,too-fast
2025-11-26T07:44:51.968Z,117,too-fast
2025-11-26T07:44:52.190Z,153,too-fast
2025-11-26T07:44:59.081Z,2073,overloaded
2025-11-26T07:45:00.097Z,941,tired
2025-11-26T07:45:01.311Z,1138,overloaded
2025-11-26T07:45:02.514Z,1149,overloaded
2025-11-26T07:45:08.966Z,1866,overloaded
2025-11-26T07:47:07.034Z,3734,overloaded
2025-11-26T07:47:51.607Z,2695,ok
2025-11-26T07:47:51.775Z,113,ok
2025-11-26T07:47:52.109Z,277,ok
2025-11-26T07:47:52.383Z,193,ok
